Type,Parent Directory,Name,Size
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/,"['directory_info.csv', '.DS_Store', 'pickle_file.bin', 'directory_info.json']",8216
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/,directory_info.csv,949
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/,.DS_Store,6148
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/,pickle_file.bin,521
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/,directory_info.json,598
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/Homework_8,['task_1.py'],2517
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/Homework_8,task_1.py,2517
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/Seminar_8,"['task_1.py', 'task_2.py']",2547
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/Seminar_8,task_1.py,943
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/Seminar_8,task_2.py,1604
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git,"['config', 'HEAD', 'description', 'index', 'COMMIT_EDITMSG']",1147
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git,config,320
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git,HEAD,21
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git,description,73
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git,index,726
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git,COMMIT_EDITMSG,7
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects,[],0
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects/df,['dbcdcb0ae3a9e7cfdd8cdabbf521bfd8dc2ee3'],54
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects/df,dbcdcb0ae3a9e7cfdd8cdabbf521bfd8dc2ee3,54
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects/e3,['acc143de84b3880362074c2570cdde25c44a01'],124
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects/e3,acc143de84b3880362074c2570cdde25c44a01,124
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects/4e,['1079ccfd440c88e6c9606c0d2ee76eb448d31c'],1042
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/objects/4e,1079ccfd440c88e6c9606c0d2ee76eb448d31c,1042
